"T_id","K_id","No","Shave1","Shave2","Chip","Holder","NorzR","Note"
159,49,4,"内径","仕","◇△","40H",0.40,
160,49,5,"外径","仕","◇",,0.40,"φ218.5仕上り　　角度付バイト"
161,50,1,"外径","荒","□",,0.80,
162,50,2,"内径","面仕","◇△","40Ｈ",0.40,
163,50,3,"外径","荒","◇",,0.40,"角度付バイト"
164,50,4,"端面","溝","3.5巾",,0.40,"京セラＳＦＲ1001Ｃ"
165,59,1,"ＦＣＤ",,,"68Φ",,
166,59,2,"外径","荒","□",,0.80,
167,59,3,"内径","荒","△","40H",0.80,
168,59,4,"外径","仕","◇",,0.40,
169,59,5,"外径","溝","3巾",,0.20,"サーメット"
170,59,6,"内径","仕","△","40Ｈ",0.40,"補正2カ所"
171,60,1,"ＦＣＤ",,,"68Φ",,
172,60,2,"外径","荒","□",,0.80,
173,60,3,"内径","荒","△","40H",0.80,
174,60,4,"外径","仕","◇",,0.40,
175,60,5,"外径","溝","3巾",,0.20,"サーメット"
176,60,6,"内径","仕","△","40Ｈ",0.40,"補正2カ所"
177,35,1,"外径","荒","□",,0.80,
178,35,2,"内径","荒","□","40～50H",0.80,
179,35,,,,,,,
180,35,,,,,,,
181,36,1,"外径","荒","□",,0.80,
182,36,2,"内径","荒","□","40～50H",0.80,
183,36,3,"内径","仕","△","40H",0.40,
184,36,4,"内径","ヌスミ","◇","32H",0.40,"三菱"
185,36,5,"外径","仕","◇",,0.40,
186,36,,,,,,,
187,37,1,"内径","荒","□",,0.80,"工具干渉の為、内荒が先"
188,37,2,"外径","荒","□",,0.80,
189,37,3,"端面","ヌスミ","6巾","32Ｈ",,"イスカルHFIL逆転　逆付け"
190,37,4,"内径","仕","△","40Ｈ",0.40,
191,37,5,"内径","ヌスミ","◇","32H",0.40,"三菱"
192,37,6,"内径","溝","4巾","50Ｈ",,"コマト"
193,37,7,"外径","仕","◇",,0.40,
194,51,1,"ＦＣＤ",,,"59Φ",,
195,51,2,"外径","荒","□",,0.80,
196,51,3,"内径","荒","△","32～40H",0.80,
197,51,,"サブ",,,,,
198,51,1,"外径","荒","□",,0.80,
199,51,2,"内径","仕","△","32～40H",0.40,
200,51,3,"外径","仕","◇",,0.40,
201,51,4,"ｽﾃｯｷ",,"3巾",,,
202,57,1,"外径","荒","□",,0.80,
203,57,2,"ＣＤ",,,"4φ",,
204,57,3,"Ｄ",,,"5.1Φ",,
205,57,4,"E.M",,,"6Φ",,"2枚刃ロング　　7Φに仕上る"
206,57,5,"ＣＤ","面取り",,"4φ",,"工程2と同じ工具"
207,57,6,"ＣＤ","面取り",,"2Φ",,
208,57,7,"外径","ヌスミ","◇",,0.80,
209,57,8,"外径","仕","◇",,0.40,"角度付バイト"
210,58,1,"ＦＣＤ",,,"29Φ",,
211,58,2,"外径","荒","□",,0.80,
212,58,3,"内径","荒","◇","16～20H",0.40,"三菱"
213,58,4,"内径","仕","◇","16H",0.40,"住友"
214,58,5,"外径","溝","2巾",,1.00,"京セラKGBAR2525M22-15"
215,58,6,"ＣＤ",,"45°","12Ｈ",,"イワタ"
216,58,7,"外径","仕","◇",,0.40,
217,58,8,"タップ",,"M6=P1.0",,,
218,54,1,"外径","荒","□",,0.80,"M00～逆付け"
219,54,2,"外径","荒","□",,0.80,"荒加工　φ176仕上"
220,54,3,"内径","荒","□","40H",0.80,"φ137仕上"
221,55,1,"外径","荒","□",,0.80,
222,55,2,"内径","荒","□△","40H",0.80,
223,55,3,"内径","端溝荒","4巾",,,"イスカルHFHR25-140φ140～240用　チップGRIP4004Y"
224,55,4,"内径","端溝仕","5巾",,,"京セラＧＦＶＲ2525.1001Ｃ　Φ151,Φ163仕上"
225,55,5,"内径","仕","△","40H",0.40,"Φ174仕上げ"
226,56,1,"外径","荒","□",,0.80,
227,56,2,"内径","荒","△","40H",0.80,
228,56,3,"内径","仕","△","40H",0.40,
229,56,4,"外径","仕",,,0.40,"角度付バイト"
230,56,5,"内径","R溝","2巾",,1.00,"京セラ KIGBAR4032-22"
231,66,1,"外径","荒","□",,0.80,"ステン用"
232,66,2,"ＣＤ",,,"2.5Φ",,
233,66,3,"外径","仕","◇",,0.40,"ステン用"
234,66,4,"外径","溝","2巾",,,"サーメット"
235,67,1,"外径","荒","□",,0.80,"ステン用"
236,67,2,"ＣＤ",,,"3Φ",,
237,67,3,"外径","仕","◇",,0.40,"ステン用"
238,67,4,"Ｄ",,,"4.3Φ",,
239,67,5,"タップ",,"Ｍ5Ｐ0.8",,,"タップ深さ10mm以上"
240,7,1,"引張り出",,,,,
241,7,2,"ＦＣＤ",,,"15.5Φ",,
242,7,3,"外径","荒","□",,0.80,
243,7,4,"内径","仕","△","12H",0.40,
244,7,5,"端面","溝","4巾",,,"イスカルＨＦＨＲ2525－4Ｔ12"
245,7,6,"外径","仕","◇",,0.40,
246,7,7,"ｽﾃｯｷ","3巾",,,,"イスカル"
247,8,1,"端面","荒","◇",,0.80,"チップはDNMG150408-AE"
248,8,2,"内径","仕","△","12H",0.40,
249,8,3,"端面","仕","△",,0.20,"三菱　NOE27R-44AW"
250,63,1,"外径","荒","△",,0.80,
251,63,2,"内径","仕","△","32～40H",0.40,
252,63,3,"外径","仕","◇",,0.40,
253,64,1,"外径","荒","□",,0.80,"ステン用"
254,64,2,"外径","仕","◇",,0.40,"ステン用"
255,65,1,"外径","荒","□",,0.80,"ステン用"
256,65,2,"ＣＤ",,"45°","12Ｈ",,"イワタ"
257,65,3,"外径","仕","◇",,0.40,"ステン用"
258,65,4,"Ｄ",,,"4.3Φ",,
259,65,5,"タップ",,"Ｍ5Ｐ0.8",,,"深さ9mm以上"
260,73,1,"ＦＣＤ",,,"15Φ",,
261,73,2,"外径","荒","□",,0.80,
262,73,3,"内径","荒","△","12H",0.80,
263,73,4,"内径","仕","△","12H",0.40,
264,73,5,"外径","仕","◇",,0.40,
265,74,1,"外径","荒","□",,0.80,
266,74,2,"内径","荒","△","12Ｈ",0.80,
267,74,3,"内径","仕","△","12Ｈ",0.40,
268,74,4,"外径","仕","◇",,0.40,
269,74,5,"外径","溝","3巾",,0.40,"タンガロイ　ＦＬＲ3ＧＰ"
270,68,1,"外径","荒","□",,0.80,
271,68,2,"内径","荒","□","40～50H",0.80,
272,68,3,"内径","面仕","△","40H",0.40,
273,68,4,"外径","仕","◇",,0.40,"角度付バイトの方がよい"
274,69,1,"外径","荒","□",,0.80,
275,69,2,"内径","荒","□","40～50H",0.80,
276,69,3,"内径","仕","△","40H",0.40,
277,69,4,"外径","仕","◇",,0.40,"角度付の方が良い"
278,45,1,"外径","荒","□",,0.80,
279,45,2,"内径","荒","□","40H",0.80,
280,45,3,"外径","仕","◇",,0.40,"角度付き"
281,45,4,"内径","仕","◇","40H",0.40,"角度付き"
282,46,1,"外径","荒","□",,0.80,
283,46,2,"内径","荒","□","40H",0.80,
284,46,3,"外径","溝荒","5巾",,,"荒用5巾ならメーカー何でも良い"
285,46,4,"外径","仕","◇",,0.40,"角度付き"
286,46,5,"内径","仕","◇","32Ｈ",0.40,"三菱と同じ角度バイトならどれでも良い"
287,46,6,"外径","溝仕","4巾",,0.50,"京セラ"
288,82,1,"外径","荒","□",,0.80,
289,82,2,"ＣＤ",,,"4Φ",,
290,82,3,"Ｄ",,,"14Φ",,
291,82,4,"ＣＤ",,,"4Φ",,"ロング"
292,82,5,"Ｄ",,,"9.5Φ",,
293,82,6,"内径","仕","△","超硬8H",0.40,
294,82,7,"外径","仕","◇",,0.80,
295,82,8,"ｽﾃｯｷ",,"4巾",,,
296,83,1,"端面","荒","□",,0.80,
297,83,2,"ＣＤ",,,"4Φ",,
298,83,3,"Ｄ",,,"9.5Φ",,
299,83,4,"内径","仕","△","8H",0.40,
300,83,5,"サラエＤ",,,"φ10",,
301,84,1,"ＣＤ",,,"4Φ",,
302,84,2,"外径","荒","△",,0.80,
303,84,3,"外径","仕","◇",,0.40,
304,84,4,"外径","ネジ","P2.0",,,
305,84,5,"カムＤ",,,"24.6Φ",,
306,84,6,"内径","荒","△","SF20H",0.80,"M00キリコ出し"
307,84,7,"内径","仕","△","SF20H",0.40,"京セラ　ＰＶ720"
308,84,8,"ｽﾃｯｷ","4巾",,,,
309,85,1,"端面","荒","□",,0.80,
310,85,2,"ＣＤ",,,"4φ",,
311,85,3,"カムＤ",,,"24.6φ",,
312,85,4,"内径","荒","△","SF20H",0.80,
313,85,5,"内径","仕","△","SF20H",0.40,
314,85,6,"外径","仕","◇",,0.40,
315,86,1,"ＣＤ",,,"4Φ",,
316,86,2,"外径","荒","◇",,0.80,"PDJNR2525"
317,86,3,"外径","仕","◇",,0.40,
318,86,4,"外径","ネジ","P1.5",,,
319,86,5,"カムＤ",,,"24.6Φ",,
320,86,6,"内径","仕","□","16H",0.40,"M30　 (チップＴＮ60）"
321,86,7,"ｽﾃｯｷ",,"4巾",,,
322,86,,,,,,,
323,87,1,"端面","荒","□◇",,0.80,
324,87,2,"CD",,,"4Φ",,
325,87,3,"カムＤ",,,"24.6φ",,
326,87,4,"内径","仕","□","16H",0.40,
327,87,5,"端面","仕","◇",,0.40,
328,42,1,"引張出",,,,,
329,42,2,"外径","仕","◇",,0.80,"チップは日立"
330,42,3,"内径","荒","□","25Ｈ",0.80,
331,42,4,"内径","仕","◇","25H",0.80,"住友"
332,90,1,"ＦＣＤ",,,"59Φ",,
333,90,2,"外径","荒","□",,0.80,
334,90,3,"内径","荒","□△","32～40H",0.80,
335,90,4,"内径","仕","◇△","32～40H",0.40,
336,90,5,"外径","仕","◇",,0.40,"角度付バイト"
337,91,1,"外径","荒","□",,0.80,
338,91,2,"内径","面仕","◇△","32～40H",0.40,
339,91,3,"外径","仕","◇",,0.40,"角度付バイト"
340,91,4,"端面","溝","2.5巾",,0.40,"京セラ　ＳＦＲ701Ｂ"
341,92,1,"ＦＣＤ",,,"59Φ",,
342,92,2,"外径","荒","□",,0.80,"M00逆付け"
343,92,3,"外径","荒","□",,0.80,
344,92,4,"内径","荒","□","32～40H",0.80,
345,92,5,"内径","溝荒","4巾","32Ｈ",0.30,"京セラ　GIVR4032-2C M00 キリコ出し"
346,92,6,"内径","溝仕","4巾","32H",0.50,"KIGHR5540B-4 チップはPR930"
347,93,1,"外径","荒","□",,0.80,
348,93,2,"内径","荒","□△","32～40H",0.80,
349,93,3,"内径","溝","4巾","32Ｈ",0.30,"京セラ　GIVR4032-2C"
350,93,4,"内径","仕","△","32～40H",0.40,"M00で内径寸法チェックの事"
351,93,5,"外径","仕","◇",,,"全長63.3Ｌ"
352,93,6,"内径","ネジ","Ｍ85Ｐ2.0","32Ｈ",,"補正を小さくしてから加工する事
（補正をU1.0程度逃がしてから加工）"
353,94,1,"内径","仕","△","40H",0.40,"Φ63仕上"
354,94,2,"外径","仕","◇",,0.40,"Φ100、Φ90仕上"
355,94,,,,,,,"全長63.2Ｌ"
356,80,1,"外径","荒","□",,0.80,
357,80,2,"内径","荒","□","40～50H",0.80,
358,80,3,"内径","仕","◇","40H",0.40,"角度付バイト"
359,80,4,"外径","仕","◇",,0.40,"角度付バイト"
360,80,5,"外径","溝","4巾",,0.50,"京セラ"
361,81,1,"外径","荒","□",,0.80,
362,81,2,"内径","荒","□","40～50Ｈ",0.80,
363,81,3,"内径","仕","◇","40H",0.40,"角度付バイト"
364,81,4,"端面","Ｖ溝","90°",,,"手研ぎ専用バイト"
365,81,5,"外径","仕","◇",,0.40,"角度付バイト"
366,78,1,"ＦＣＤ",,,"39Φ",,
367,78,2,"外径","荒","□",,0.80,
368,78,3,"内径","荒","□△","25H",0.80,
369,78,4,"内径","溝","1.4巾","25Ｈ",,"三菱"
370,78,5,"内径","仕","△","25～32H",0.40,"ﾎﾞﾛﾝ"
371,78,6,"外径","仕","◇",,0.40,"ﾎﾞﾛﾝ"
372,79,1,"外径","荒","□",,0.80,
373,79,2,"内径","仕","△","25～32H",0.40,"ﾎﾞﾛﾝ"
374,79,3,"外径","仕","◇",,0.40,"ﾎﾞﾛﾝ"
375,61,1,"外径",,"□",,0.80,
376,61,2,"内径","仕","△","32～40H",0.80,"φ110.5"
377,61,3,"外径","仕","◇",,0.40,"角度付バイト"
378,61,4,"端面","溝","2巾",,0.20,"タンガロイ　サーメット外溝用"
379,62,1,"外径","荒","□",,0.80,
380,62,2,"内径","面仕","△","32～40H",0.80,
381,62,3,"外径","仕","◇",,0.40,"角度付バイト"
382,62,4,"端面","溝","2巾",,0.20,"タンガロイ外溝用"
383,70,1,"外径","荒","□",,0.80,"Ｍ00　逆付け"
384,71,1,"外径","荒","□",,0.80,
385,71,2,"内径","荒","□","40～50Ｈ",0.80,
386,71,3,"内径","仕","◇","40H",0.40,
387,71,4,"外径","仕","◇",,0.40,"角度付バイト"
388,71,,,,,,,
389,72,1,"外径","荒","□",,0.80,
390,72,2,"内径","荒","□","40～50Ｈ",0.80,
391,72,3,"内径","仕","◇","40H",0.40,"内径寸法φ225.4"
392,72,4,"外径","仕","◇",,0.40,"角度付バイト"
393,88,1,"ＦＣＤ",,,"31Φ",,
394,88,2,"外径","荒","□",,0.80,
395,88,3,"内径","荒","△","25H",0.80,
396,88,4,"外径","仕","◇",,0.40,
397,89,1,"外径","荒","□",,0.80,
398,89,2,"内径","仕","△","25H",0.40,
399,89,3,"外径","仕","◇",,0.40,"角度付が良い 　"
400,100,1,"ＦＣＤ",,,"59Φ",,
401,100,2,"外径","荒","□",,0.80,
402,100,3,"内径","荒","□","40H",0.80,
403,100,4,"内径","仕","△","40Ｈ",0.40,
404,100,5,"外径","仕","◇",,0.40,"角度付が良い"
405,101,1,"外径","荒","□",,0.80,
406,101,2,"内径","面仕","△","40Ｈ",0.40,
407,101,3,"外径","仕","◇",,0.40,"角度付バイト　端面ヌスミ加工の為"
408,52,1,"ＦＣＤ",,,"59Φ",,
409,52,2,"外径","荒","□",,0.80,
410,52,3,"内径","荒","△","20～25H",0.80,
411,52,4,"内径","底荒","◇","25H",0.80,"三菱"
412,52,5,"外径","仕","◇",,0.40,
413,52,6,"内径","仕","△","25Ｈ",0.40,
414,53,1,"外径","荒","□",,0.80,
415,53,2,"外径","仕","◇",,0.40,
416,102,1,"外径","荒","□",,0.80,
417,102,2,"ＣＤ",,"90°","12H",,"イワタ"
418,102,3,"Ｄ",,,"5.1Φ",,
419,102,4,"外径","仕","◇",,0.40,
420,102,5,"タップ",,"M6P1.0",,,
421,103,1,"外径","荒","□",,0.80,
422,103,2,"外径","仕","◇",,0.40,
423,103,3,"外径","溝","2巾",,0.20,"京セラ　KGBAR2525M22-15"
424,95,1,"外径","荒","□",,0.80,
425,95,2,"ＣＤ",,,"4Φ",,
426,95,3,"カムＤ",,,"14Φ",,
427,95,4,"ＣＤ",,,"4Φ",,"ロング"
428,95,5,"カムＤ",,,"11.5Φ",,
429,95,6,"内径","仕","△","10Ｈ",0.40,
430,95,7,"外径","仕","◇",,0.80,
431,95,8,"ｽﾃｯｷ",,"4巾",,,
432,96,1,"端面","荒","□",,0.80,
433,96,2,"ＣＤ",,,"4Φ",,
434,96,3,"カムＤ",,,"11.5Φ",,
435,96,4,"内径","仕","△","10Ｈ",0.40,
436,96,5,"端面","仕","◇",,0.80,
437,77,1,"ＦＣＤ",,,"59Φ",,
438,77,2,"外径","荒","□",,0.80,
439,77,3,"内径","荒","□","40Ｈ",0.80,
440,77,4,"内径","仕","△","40Ｈ",0.40,
441,77,5,"外径","仕","◇",,0.40,"角度付バイトが良い"
442,76,1,"外径","荒","□",,0.80,
443,76,2,"内径","面仕","△","40H",0.40,
444,76,3,"外径","仕","◇",,0.40,"角度付バイトが良い"
445,97,1,"ＦＣＤ",,,"Φ59",,
446,97,2,"外径","荒","□",,0.80,
447,97,3,"内径","荒","△","40H",0.80,
448,98,1,"外径","荒","□",,0.80,
449,98,2,"内径","荒","△","40H",0.80,
450,98,3,"内径","仕","△","40H",0.40,"φ70仕上り"
451,98,4,"外径","仕","◇",,0.40,"角度付バイト"
452,99,1,"外径","荒","□",,0.80,
453,99,2,"内径","荒","□","32～40H",0.80,
454,99,3,"内径","溝","2.5巾","32H",0.30,"京セラ　KIGBAR4032"
455,99,4,"内径","仕","◇","32H",0.40,"ｻﾝﾄﾞﾋﾞｯｸ　S32U-SVUBR"
456,99,5,"外径","仕","◇",,0.40,"角度付バイト
M00～キリコ出し"
457,99,6,"内径","ネジ","M70P2","32H",,"M00 キリコ出し"
458,117,1,"マジックＤ",,,"31.5φ",,
459,117,2,"外径","荒","□",,0.80,
460,117,3,"内径","仕","△","25H",0.40,
461,117,4,"外径","仕","◇",,0.80,
462,117,5,"ｽﾃｯｷ",,"4巾",,,
463,117,,,,,,,
464,118,1,"内径","面仕","△","25H",0.40,
465,118,2,"端面","仕","◇",,0.80,
466,5,1,"外径","荒","□",,0.80,
467,5,2,"内径","荒","△","32Ｈ",0.80,
468,5,3,"内径","仕","△","32Ｈ",0.40,
469,5,4,"端面","溝","2.5巾",,,"京セラＳＦＲ501Ｂ"
470,5,5,"外径","仕","◇",,0.40,
471,6,1,"外径","荒","□",,0.80,
472,6,2,"内径","荒","□","32H",0.80,
473,6,3,"内径","仕","△","32H",0.40,
474,6,4,"外径","仕","◇",,0.40," 35°成形バイト


　"
475,104,1,"ＦＣＤ",,,"25φ",,
476,104,2,"外径","荒","□",,0.80,
477,104,3,"内径","荒","△","20H",0.80,
478,104,4,"内径","仕","△","20～SF25H",0.40,
479,104,5,"外径","仕","◇",,0.40,
480,105,1,"外径","荒","□",,0.80,
481,105,2,"内径","荒","△","20H",0.80,
482,105,3,"内径","仕","△","20～SF25H",0.40,
483,105,4,"外径","仕","◇",,0.40,
484,109,1,"外径ｽﾃ","荒","□",,0.80,"逆付け"
485,109,2,"ＦＣＤ",,,"59φ",,
486,109,3,"外径","荒","□",,0.80,
487,109,4,"内径","荒","□","40H",0.80,
488,109,5,"内径","仕","△","40H",0.40,
489,109,6,"外径","仕","◇",,0.40,"角度付きの方がいい!"
490,110,1,"外径","荒","□",,0.80,
491,110,2,"内径","荒","□","40H",0.80,
492,110,3,"内径","仕","△","40H",0.40,
493,110,4,"外径","仕","◇",,0.40,"角度付きの方がいい!"
494,121,1,"ＦＣＤ",,,"59φ",,
495,121,2,"外径","荒","□",,0.80,
496,121,3,"内径","荒","△","32～40H",0.80,
497,121,,,,,,,
498,121,,"サブプロ",,,,,
499,121,1,"外径","荒","□",,0.80,
500,121,2,"内径","仕","△","32～40H",0.40,
501,121,3,"外径","仕","◇",,0.40,
502,121,4,"内径","溝","2.6巾","25Ｈ",,"三菱"
503,121,5,"ｽﾃｯｷ",,"3巾",,,
504,116,1,"ＦＣＤ",,,"59φ",,
505,116,2,"外径","荒","□",,0.80,
506,116,3,"内径","荒","△","32～40H",0.80,
507,116,,,,,,,
508,116,,"サブプロ",,,,,
509,116,1,"外径","荒","□",,0.80,
510,116,2,"内径","仕","△","32～40H",0.40,
511,116,3,"外径","仕","◇",,0.40,
512,116,4,"ｽﾃｯｷ",,"3巾",,,
513,108,1,"外径","荒","△",,0.80,
514,108,2,"外径","仕","◇",,0.40,
515,108,3,"内径","仕","△","25～32H",0.40,"補正2カ所"
516,114,1,"外径","荒","□",,0.80,
517,114,2,"内径","荒","△","32～40H",0.80,
518,114,3,"内径","仕","△","32～40H",0.40,
519,114,4,"外径","仕","◇",,0.40,"成形ﾊﾞｲﾄ"
520,114,5,"内径","溝","3巾","32H",,"京セラ　GIVR4032-2C"
